person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
58,52842,MORTGAGE,10.5,MEDICAL,C,6474,14.17,0.39,N,20,0
48,28900,OTHER,1.9,HOMEIMPROVEMENT,A,5650,17.18,0.25,N,28,0
34,95059,OTHER,1.1,HOMEIMPROVEMENT,B,12632,18.34,0.61,N,25,1
62,16881,OTHER,3.2,PERSONAL,D,18992,19.23,0.7,N,18,0
27,48037,RENT,6.4,DEBTCONSOLIDATION,A,22966,17.35,0.75,N,29,0
40,16630,OTHER,0.0,EDUCATION,A,10050,19.7,0.14,N,24,0
58,35789,RENT,4.0,MEDICAL,A,33758,7.57,0.58,Y,5,1
38,103059,RENT,3.6,VENTURE,D,9987,20.3,0.8,Y,13,0
42,98494,OTHER,1.5,DEBTCONSOLIDATION,C,10773,12.29,0.54,N,24,0
30,61151,OWN,2.4,PERSONAL,B,31431,14.81,0.29,Y,21,1
30,63920,OWN,1.1,VENTURE,A,20255,13.12,0.53,N,9,0
43,82231,OTHER,6.2,MEDICAL,D,14184,13.87,0.57,N,29,1
55,95357,OWN,4.0,DEBTCONSOLIDATION,B,27248,10.48,0.33,N,23,0
59,18262,MORTGAGE,3.0,MEDICAL,B,11866,8.43,0.09,N,27,0
43,81981,MORTGAGE,2.0,DEBTCONSOLIDATION,C,32363,7.27,0.5,N,27,0
22,96972,RENT,1.4,DEBTCONSOLIDATION,C,28829,13.43,0.67,Y,17,0
41,90485,OWN,6.9,MEDICAL,B,27025,7.63,0.83,N,25,0
21,69722,MORTGAGE,2.4,MEDICAL,C,2176,9.76,0.19,N,29,0
43,104499,OTHER,2.8,VENTURE,B,5782,7.78,0.58,N,2,0
63,65818,OWN,,PERSONAL,D,26722,7.34,0.02,Y,10,0
49,44932,MORTGAGE,2.4,MEDICAL,A,13876,21.11,0.8,N,12,0
57,21901,MORTGAGE,1.2,HOMEIMPROVEMENT,A,9931,17.4,0.01,N,13,0
21,114023,OTHER,0.5,PERSONAL,D,33870,21.84,0.3,N,10,0
40,23597,RENT,0.4,HOMEIMPROVEMENT,D,2437,16.86,0.06,N,7,0
52,78909,OTHER,5.7,VENTURE,A,25005,20.42,0.52,N,10,0
31,87391,RENT,1.0,MEDICAL,A,25101,15.28,0.28,N,7,0
